Name,Start,End,Size
entry,0x00100008,0x00100088,128
_exit,0x001000A8,0x001000B0,8
_d_ulltod,0x001000C0,0x00100104,60
_d_utod,0x00100110,0x0010011C,12
_dpflt,0x00100120,0x00100130,16
_dpfgt,0x00100140,0x00100150,16
sceGsResetGraph,0x00100160,0x00100270,272
sceGsGetGParam,0x00100270,0x0010027C,12
sceGsResetPath,0x00100280,0x001002C8,72
sceGsSetDefDispEnv,0x001002E8,0x00100530,380
sceGszbufaddr,0x00100558,0x00100620,200
sceGsSetDefDrawEnv,0x00100620,0x00100804,484
sceGsSetDefClear,0x00100808,0x0010090C,260
sceGsSyncV,0x00100910,0x001009A4,148
sceGsSyncPath,0x001009A8,0x00100CBC,540
sceGsSetDefLoadImage,0x00100CC0,0x00100EA4,412
sceGsSetDefStoreImage,0x00100EA8,0x00100FE8,320
sceGsExecLoadImage,0x00100FE8,0x00101164,372
sceGsExecStoreImage,0x00101168,0x001017B0,992
sceGsSyncVCallback,0x001017F8,0x00101858,96
sceGsSetHalfOffset,0x00101858,0x001018E0,136
sceGsSetDefDrawEnv2,0x001018E0,0x00101AC0,480
sceGsSetHalfOffset2,0x00101AC0,0x00101B48,136
sceGsSetDefDBuffDc,0x00101B48,0x00101E2C,740
memclr,0x00101E30,0x00101E64,52
sceDmaGetChan,0x00101E68,0x00101E90,40
sceDmaReset,0x00101E90,0x00101F6C,220
sceDmaDebug,0x00101F70,0x00101F80,16
sceDmaPutEnv,0x00101F80,0x00102158,472
sceDmaGetEnv,0x00102158,0x00102190,56
sceDmaPutStallAddr,0x00102190,0x001021B8,40
sceDmaSend,0x001021B8,0x00102290,160
sceDmaSendN,0x00102290,0x00102374,172
sceDmaSendI,0x00102378,0x0010245C,172
sceDmaRecv,0x00102460,0x00102524,140
sceDmaRecvN,0x00102528,0x00102614,180
sceDmaRecvI,0x00102618,0x00102708,184
sceDmaSync,0x00102708,0x001027CC,140
sceDmaWatch,0x001027D0,0x001028A0,152
sceDmaPause,0x001028A0,0x001028BC,28
sceDmaRestart,0x001028C0,0x001028DC,28
sceGifPkInit,0x001028E0,0x001028F0,16
sceGifPkReset,0x001028F0,0x00102900,16
sceGifPkTerminate,0x00102900,0x00102958,88
sceGifPkCnt,0x00102958,0x001029CC,116
sceGifPkEnd,0x001029D0,0x00102A44,116
sceGifPkOpenGifTag,0x00102A48,0x00102A60,24
sceGifPkCloseGifTag,0x00102A60,0x00102B04,164
sceGifPkAddGsPacked,0x00102B08,0x00102B1C,20
sceVu0ApplyMatrix,0x00102B20,0x00102B4C,44
sceVu0MulMatrix,0x00102B50,0x00102B94,68
sceVu0OuterProduct,0x00102B98,0x00102BB4,28
sceVu0InnerProduct,0x00102BB8,0x00102BDC,36
sceVu0Normalize,0x00102BE0,0x00102C14,52
sceVu0TransposeMatrix,0x00102C18,0x00102C19,1
sceVu0InversMatrix,0x00102C60,0x00102C61,1
sceVu0DivVector,0x00102CD0,0x00102CF0,32
sceVu0DivVectorXYZ,0x00102CF0,0x00102D10,32
sceVu0InterVector,0x00102D10,0x00102D38,40
sceVu0AddVector,0x00102D38,0x00102D4C,20
sceVu0SubVector,0x00102D50,0x00102D64,20
sceVu0MulVector,0x00102D68,0x00102D7C,20
sceVu0ScaleVector,0x00102D80,0x00102D98,24
sceVu0TransMatrix,0x00102D98,0x00102DA0,8
sceVu0CopyVector,0x00102DC8,0x00102DC9,1
sceVu0CopyMatrix,0x00102DD8,0x00102DD9,1
sceVu0FTOI4Vector,0x00102E00,0x00102E10,16
sceVu0FTOI0Vector,0x00102E10,0x00102E20,16
sceVu0ITOF4Vector,0x00102E20,0x00102E30,16
sceVu0ITOF0Vector,0x00102E30,0x00102E40,16
sceVu0UnitMatrix,0x00102E40,0x00102E68,40
_sceVu0ecossin,0x00102E68,0x00102EDC,116
sceVu0RotMatrixZ,0x00102EE0,0x00102F84,164
sceVu0RotMatrixX,0x00102F88,0x00103030,168
sceVu0RotMatrixY,0x00103030,0x001030D8,168
sceVu0RotMatrix,0x001030D8,0x00103128,80
sceVu0ClampVector,0x00103128,0x0010314C,36
sceVu0CameraMatrix,0x00103150,0x00103200,176
sceVu0NormalLightMatrix,0x00103200,0x001032C0,192
sceVu0LightColorMatrix,0x001032C0,0x00103328,104
sceVu0ViewScreenMatrix,0x00103328,0x0010342C,260
sceVu0DropShadowMatrix,0x00103430,0x001035C0,400
sceVu0RotTransPersN,0x001035C0,0x00103618,88
sceVu0RotTransPers,0x00103618,0x0010365C,68
sceVu0CopyVectorXYZ,0x00103660,0x0010367C,28
sceVu0InterVectorXYZ,0x00103680,0x001036AC,44
sceVu0ScaleVectorXYZ,0x001036B0,0x001036C8,24
sceVu0ClipScreen,0x001036C8,0x00103710,72
sceVu0ClipScreen3,0x00103710,0x00103770,96
